archivo,patron,tiempo_ms,ocurrencias
english.50MB,Moscow,0,102
english.50MB,English,0,1781
english.50MB,XDdabsdrsaf,0,0
english.50MB,Storm,0,38
english.50MB,Government,0,1004
english.50MB,Salvation,0,78
english.50MB,Revolution,0,713
english.50MB,Power,0,134
english.50MB,Congress,0,622
english.50MB,Moscow,0,102
english.50MB,English,0,1781
english.50MB,XDdabsdrsaf,0,0
english.50MB,Storm,0,38
english.50MB,Government,0,1004
english.50MB,Salvation,0,78
english.50MB,Revolution,0,713
english.50MB,Power,0,134
english.50MB,Congress,0,622
english.50MB,Moscow,0,102
english.50MB,English,0,1781
english.50MB,XDdabsdrsaf,0,0
english.50MB,Storm,0,38
english.50MB,Government,0,1004
english.50MB,Salvation,0,78
english.50MB,Revolution,0,713
english.50MB,Power,0,134
english.50MB,Congress,0,622
english.50MB,Moscow,0,102
english.50MB,English,0,1781
english.50MB,XDdabsdrsaf,0,0
english.50MB,Storm,0,38
english.50MB,Government,0,1004
english.50MB,Salvation,0,78
english.50MB,Revolution,0,713
english.50MB,Power,0,134
english.50MB,Congress,0,622
english.50MB,Moscow,0,102
english.50MB,English,0,1781
english.50MB,XDdabsdrsaf,0,0
english.50MB,Storm,0,38
english.50MB,Government,0,1004
english.50MB,Salvation,0,78
english.50MB,Revolution,0,713
english.50MB,Power,0,134
english.50MB,Congress,0,622
english.100MB,Moscow,0,160
english.100MB,English,0,4832
english.100MB,XDdabsdrsaf,0,0
english.100MB,Storm,0,72
english.100MB,Government,0,2593
english.100MB,Salvation,0,89
english.100MB,Revolution,0,1043
english.100MB,Power,0,517
english.100MB,Congress,0,1197
english.100MB,Moscow,0,160
english.100MB,English,0,4832
english.100MB,XDdabsdrsaf,0,0
english.100MB,Storm,0,72
english.100MB,Government,0,2593
english.100MB,Salvation,0,89
english.100MB,Revolution,0,1043
english.100MB,Power,0,517
english.100MB,Congress,0,1197
english.100MB,Moscow,0,160
english.100MB,English,0,4832
english.100MB,XDdabsdrsaf,0,0
english.100MB,Storm,0,72
english.100MB,Government,0,2593
english.100MB,Salvation,0,89
english.100MB,Revolution,0,1043
english.100MB,Power,0,517
english.100MB,Congress,0,1197
english.100MB,Moscow,0,160
english.100MB,English,0,4832
english.100MB,XDdabsdrsaf,0,0
english.100MB,Storm,0,72
english.100MB,Government,0,2593
english.100MB,Salvation,0,89
english.100MB,Revolution,0,1043
english.100MB,Power,0,517
english.100MB,Congress,0,1197
english.100MB,Moscow,0,160
english.100MB,English,0,4832
english.100MB,XDdabsdrsaf,0,0
english.100MB,Storm,0,72
english.100MB,Government,0,2593
english.100MB,Salvation,0,89
english.100MB,Revolution,0,1043
english.100MB,Power,0,517
english.100MB,Congress,0,1197
english.200MB,Moscow,0,333
english.200MB,English,0,9820
english.200MB,XDdabsdrsaf,0,0
english.200MB,Storm,0,129
english.200MB,Government,0,3578
english.200MB,Salvation,0,113
english.200MB,Revolution,0,1418
english.200MB,Power,0,683
english.200MB,Congress,0,1684
english.200MB,Moscow,0,333
english.200MB,English,0,9820
english.200MB,XDdabsdrsaf,0,0
english.200MB,Storm,0,129
english.200MB,Government,0,3578
english.200MB,Salvation,0,113
english.200MB,Revolution,0,1418
english.200MB,Power,0,683
english.200MB,Congress,0,1684
english.200MB,Moscow,0,333
english.200MB,English,0,9820
english.200MB,XDdabsdrsaf,0,0
english.200MB,Storm,0,129
english.200MB,Government,0,3578
english.200MB,Salvation,0,113
english.200MB,Revolution,0,1418
english.200MB,Power,0,683
english.200MB,Congress,0,1684
english.200MB,Moscow,0,333
english.200MB,English,0,9820
english.200MB,XDdabsdrsaf,0,0
english.200MB,Storm,0,129
english.200MB,Government,0,3578
english.200MB,Salvation,0,113
english.200MB,Revolution,0,1418
english.200MB,Power,0,683
english.200MB,Congress,0,1684
english.200MB,Moscow,0,333
english.200MB,English,0,9820
english.200MB,XDdabsdrsaf,0,0
english.200MB,Storm,0,129
english.200MB,Government,0,3578
english.200MB,Salvation,0,113
english.200MB,Revolution,0,1418
english.200MB,Power,0,683
english.200MB,Congress,0,1684
english.1024MB_clean.txt,Moscow,0,1249
english.1024MB_clean.txt,English,0,60090
english.1024MB_clean.txt,XDdabsdrsaf,0,0
english.1024MB_clean.txt,Storm,0,540
english.1024MB_clean.txt,Government,0,16175
english.1024MB_clean.txt,Salvation,0,694
english.1024MB_clean.txt,Revolution,0,5415
english.1024MB_clean.txt,Power,0,3757
english.1024MB_clean.txt,Congress,0,7305
english.1024MB_clean.txt,Moscow,0,1249
english.1024MB_clean.txt,English,0,60090
english.1024MB_clean.txt,XDdabsdrsaf,0,0
english.1024MB_clean.txt,Storm,0,540
english.1024MB_clean.txt,Government,0,16175
english.1024MB_clean.txt,Salvation,0,694
english.1024MB_clean.txt,Revolution,0,5415
english.1024MB_clean.txt,Power,0,3757
english.1024MB_clean.txt,Congress,0,7305
