archivo,tiempo_ms,tamano_mb
english.50MB,84533,82.1851
english.50MB,95714,82.1851
english.50MB,96049,82.1851
english.50MB,96231,82.1851
english.50MB,96353,82.1851
english.100MB,165107,164.99
english.100MB,172728,164.99
english.100MB,173175,164.99
english.100MB,173380,164.99
english.100MB,183447,164.99
english.200MB,356419,331.005
english.200MB,381298,331.005
english.200MB,385603,331.005
english.200MB,388263,331.005
english.200MB,406528,331.005
english.1024MB_clean.txt,1884124,1515.57
english.1024MB_clean.txt,1894138,1515.57
english.1024MB_clean.txt,1907077,1515.57
english.1024MB_clean.txt,2067303,1515.57
