archivo,patron,tiempo_ms
english.50MB,Moscow,46
english.50MB,English,45
english.50MB,XDdabsdrsaf,45
english.50MB,Storm,46
english.50MB,Government,45
english.50MB,Salvation,46
english.50MB,Revolution,45
english.50MB,Power,45
english.50MB,Congress,45
english.50MB,aksld;fjaslbk,90
english.50MB,asklbkashhvcsd,94
english.50MB,Moscow,46
english.50MB,English,45
english.50MB,XDdabsdrsaf,45
english.50MB,Storm,46
english.50MB,Government,45
english.50MB,Salvation,46
english.50MB,Revolution,45
english.50MB,Power,45
english.50MB,Congress,45
english.50MB,aksld;fjaslbk,90
english.50MB,asklbkashhvcsd,94
english.50MB,Moscow,46
english.50MB,English,45
english.50MB,XDdabsdrsaf,45
english.50MB,Storm,46
english.50MB,Government,45
english.50MB,Salvation,46
english.50MB,Revolution,45
english.50MB,Power,45
english.50MB,Congress,46
english.50MB,aksld;fjaslbk,90
english.50MB,asklbkashhvcsd,94
english.50MB,Moscow,46
english.50MB,English,45
english.50MB,XDdabsdrsaf,45
english.50MB,Storm,46
english.50MB,Government,45
english.50MB,Salvation,46
english.50MB,Revolution,45
english.50MB,Power,45
english.50MB,Congress,46
english.50MB,aksld;fjaslbk,90
english.50MB,asklbkashhvcsd,94
english.50MB,Moscow,70
english.50MB,English,69
english.50MB,XDdabsdrsaf,68
english.50MB,Storm,70
english.50MB,Government,69
english.50MB,Salvation,71
english.50MB,Revolution,61
english.50MB,Power,46
english.50MB,Congress,46
english.50MB,aksld;fjaslbk,90
english.50MB,asklbkashhvcsd,94
english.200MB,Moscow,185
english.200MB,English,183
english.200MB,XDdabsdrsaf,180
english.200MB,Storm,186
english.200MB,Government,182
english.200MB,Salvation,186
english.200MB,Revolution,183
english.200MB,Power,183
english.200MB,Congress,184
english.200MB,aksld;fjaslbk,362
english.200MB,asklbkashhvcsd,376
english.200MB,Moscow,185
english.200MB,English,183
english.200MB,XDdabsdrsaf,180
english.200MB,Storm,185
english.200MB,Government,182
english.200MB,Salvation,185
english.200MB,Revolution,183
english.200MB,Power,182
english.200MB,Congress,184
english.200MB,aksld;fjaslbk,359
english.200MB,asklbkashhvcsd,376
english.200MB,Moscow,184
english.200MB,English,184
english.200MB,XDdabsdrsaf,180
english.200MB,Storm,185
english.200MB,Government,182
english.200MB,Salvation,186
english.200MB,Revolution,183
english.200MB,Power,183
english.200MB,Congress,184
english.200MB,aksld;fjaslbk,359
english.200MB,asklbkashhvcsd,376
english.200MB,Moscow,184
english.200MB,English,183
english.200MB,XDdabsdrsaf,180
english.200MB,Storm,186
english.200MB,Government,182
english.200MB,Salvation,189
english.200MB,Revolution,183
english.200MB,Power,183
english.200MB,Congress,184
english.200MB,aksld;fjaslbk,359
english.200MB,asklbkashhvcsd,377
english.200MB,Moscow,185
english.200MB,English,183
english.200MB,XDdabsdrsaf,180
english.200MB,Storm,185
english.200MB,Government,182
english.200MB,Salvation,185
english.200MB,Revolution,182
english.200MB,Power,183
english.200MB,Congress,184
english.200MB,aksld;fjaslbk,359
english.200MB,asklbkashhvcsd,377
english.100MB,Moscow,92
english.100MB,English,91
