archivo,tiempo_ms,tamano_mb
english.50MB,174,50
english.50MB,133,50
english.50MB,135,50
english.50MB,137,50
english.50MB,192,50
english.200MB,578,200
english.200MB,533,200
english.200MB,528,200
english.200MB,529,200
english.200MB,529,200
english.100MB,271,100
english.100MB,269,100
english.100MB,270,100
english.100MB,271,100
english.100MB,269,100
english.1024MB_clean.txt,2961,1023.85
english.1024MB_clean.txt,3032,1023.85
english.1024MB_clean.txt,2968,1023.85
english.1024MB_clean.txt,2965,1023.85
english.1024MB_clean.txt,3176,1023.85
